Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Average Cadence","Active Energy","Total Energy","Elevation Ascended","Elevation Descended",Weather Temperature,Weather Humidity
"Outdoor Running","2021-01-13 09:52","2021-01-13 10:26","0:34:23","4.8495303269912835","114.93139841688654","130","0:07:05","8.459563694282364","294.95244062840794","429.2000000000003","531.4250000000002","41.07",,"6.999999814563353","61"
"Other","2021-01-11 12:34","2021-01-11 12:42","0:07:18",,"122.96875","185",,,,"91.96999999999997","137.55300000000003",,,"8.999999761581478","82"
"Outdoor Walking","2021-01-10 15:58","2021-01-10 16:09","0:10:31","0.7574439582989435","94.23809523809524","112","0:13:53","4.320371538284938","205.56035978504624","63.44000000000007","112.27400000000007","9.040000000000001",,"7.999999788072387","86"
"Outdoor Running","2021-01-10 15:33","2021-01-10 15:58","0:24:52","3.242147541162819","117.48497854077253","153","0:07:40","7.820193118299456","283.268024880403","295.63700000000034","350.92499999999995","29",,"7.999999788072387","86"
"Outdoor Walking","2021-01-10 09:32","2021-01-10 10:39","0:52:28","4.309138905777247","71.0993710691824","125","0:12:10","4.927681333263281","199.56812280219864","307.0860000000015","482.28700000000026","50.64",,"5.9999998410543185","97"
"Outdoor Walking","2021-01-07 15:18","2021-01-07 16:07","0:48:43","4.217786346378952","81.73383084577114","117","0:11:33","5.193948795371405","231.18177195640834","305.1779999999999","437.9969999999978","43.5",,"6.999999814563353","84"
"Outdoor Walking","2021-01-06 19:05","2021-01-06 19:29","0:24:40","1.8403111952343025","85.49491525423728","121","0:13:24","4.475252389136099","204.87840032767542","142.21699999999944","220.15400000000022","25.07",,"4.999999867545284","98"
"Outdoor Walking","2021-01-06 12:53","2021-01-06 13:37","0:43:34","3.841968491526728","76.626204238921","91","0:11:20","5.289417986623869","227.1828014839746","263.06999999999954","385.52400000000176","36.95",,"8.999999761581478","80"
"Yoga","2021-01-06 11:26","2021-01-06 11:58","0:30:37",,"71.928","113",,,,"106.2870000000002","199.3180000000013",,,"8.999999761581478","81"
"Outdoor Walking","2021-01-06 09:39","2021-01-06 10:20","0:41:35","3.560943021655199","73.72537313432836","85","0:11:40","5.136789365954221","213.0771590268058","235.60799999999958","351.6640000000017","35.13",,"6.999999814563353","86"
"High Intensity Interval Training","2021-01-05 19:29","2021-01-05 19:40","0:10:21",,"117.816","135",,,,"111.03199999999998","157.63199999999998",,,"9.999999735090512","71"
"Functional Strength Training","2021-01-05 19:08","2021-01-05 19:29","0:20:29",,"99.47368421052632","124",,,,"101.79600000000016","146.86100000000062",,,"8.999999761581478","72"
"Outdoor Walking","2021-01-05 09:50","2021-01-05 10:03","0:12:50","1.030479428383318","75.40163934426229","133","0:12:27","4.817390106474172","164.11881553924286","78.3159999999999","129.46099999999993","22.05",,"7.999999788072387","79"
"Outdoor Running","2021-01-04 16:08","2021-01-04 16:45","0:36:54","4.836203141749898","112.652","163","0:07:37","7.861752378966509","286.94169645992685","430.64400000000063","536.8520000000024","45.800000000000004",,"6.999999814563353","93"
"Outdoor Running","2021-01-03 16:33","2021-01-03 17:06","0:32:36","4.841043479311654","125.38671875","136","0:06:44","8.908538031794194","295.93532646777896","458.2340000000003","556.4160000000018","48.94",,"6.999999814563353","90"
"Outdoor Walking","2021-01-01 19:22","2021-01-01 19:43","0:21:17","1.8467102380894067","81.3225806451613","110","0:11:32","5.202109711437813","224.89238532026621","133.03499999999983","211.57000000000016","14.31",,"8.999999761581478","93"
"High Intensity Interval Training","2021-01-01 16:48","2021-01-01 17:08","0:20:52",,"105.668","126",,,,"186.53700000000006","254.34700000000038",,,"10.999999708599546","89"
